sourceId,latitude,longtitude,max(air_temperature P1D),max(relative_humidity P1D),max(wind_speed P1D),mean(air_temperature P1D),mean(relative_humidity P1D),mean(wind_speed P1D),sum(precipitation_amount P1D),day,month,year
SN69100,63.4597,10.9305,-2.3,83.0,4.1,-8.5,79.0,3.0,0.0,1,1,2010
SN69100,63.4597,10.9305,-13.4,84.0,4.6,-15.15,82.0,3.6,0.0,2,1,2010
SN69100,63.4597,10.9305,1.6,95.0,9.1,-8.15,88.0,5.1,2.0,3,1,2010
SN69100,63.4597,10.9305,0.4,94.0,12.0,-3.5,86.0,4.9,2.5,4,1,2010
SN69100,63.4597,10.9305,-9.7,81.0,5.9,-14.25,77.0,4.2,0.0,5,1,2010
SN69100,63.4597,10.9305,-21.0,81.0,5.2,-21.5,78.0,3.4,0.0,6,1,2010
SN69100,63.4597,10.9305,-17.8,81.0,5.1,-20.65,79.0,3.5,0.0,7,1,2010
SN69100,63.4597,10.9305,-20.2,80.0,4.7,-21.0,78.0,3.8,0.0,8,1,2010
SN69100,63.4597,10.9305,-16.5,80.0,5.2,-19.5,79.0,3.6,0.0,9,1,2010
SN69100,63.4597,10.9305,-8.5,82.0,5.1,-15.55,79.0,3.4,0.0,10,1,2010
SN69100,63.4597,10.9305,-2.2,97.0,3.5,-6.85,92.0,1.8,0.0,11,1,2010
SN69100,63.4597,10.9305,-3.1,95.0,3.2,-8.9,94.0,2.4,0.0,12,1,2010
SN69100,63.4597,10.9305,-12.3,93.0,3.0,-14.45,90.0,2.3,0.0,13,1,2010
SN69100,63.4597,10.9305,-15.4,90.0,3.0,-16.95,89.0,2.1,0.0,14,1,2010
SN69100,63.4597,10.9305,-0.6,95.0,4.6,-13.5,79.0,1.7,0.0,15,1,2010
SN69100,63.4597,10.9305,0.6,55.0,10.9,-2.95,50.0,4.3,0.0,16,1,2010
SN69100,63.4597,10.9305,0.1,58.0,9.8,-0.9,53.0,5.4,0.0,17,1,2010
SN69100,63.4597,10.9305,0.3,63.0,9.2,-1.7,56.0,5.6,0.0,18,1,2010
SN69100,63.4597,10.9305,-0.6,96.0,2.4,-3.05,86.0,1.4,0.55,19,1,2010
SN69100,63.4597,10.9305,-1.7,98.0,5.1,-4.6,86.0,3.4,0.05,20,1,2010
SN69100,63.4597,10.9305,-0.5,66.0,9.8,-2.8,54.0,5.3,0.0,21,1,2010
SN69100,63.4597,10.9305,-0.2,55.0,9.0,-2.0,51.0,4.7,0.0,22,1,2010
SN69100,63.4597,10.9305,-2.9,75.0,3.7,-4.4,64.0,2.1,0.0,23,1,2010
SN69100,63.4597,10.9305,-4.1,93.0,3.3,-5.45,80.0,2.2,0.25,24,1,2010
SN69100,63.4597,10.9305,1.1,98.0,4.2,-1.7,96.0,1.7,4.25,25,1,2010
SN69100,63.4597,10.9305,1.5499999999999998,99.0,4.2,0.0,96.0,2.1,1.2,26,1,2010
SN69100,63.4597,10.9305,5.5,92.0,11.9,1.3,87.0,5.2,11.2,27,1,2010
SN69100,63.4597,10.9305,1.3,96.0,7.5,0.6,93.0,3.8,4.5,28,1,2010
SN69100,63.4597,10.9305,-0.3,94.0,6.1,-3.35,84.0,3.6,3.0,29,1,2010
SN69100,63.4597,10.9305,-5.0,73.0,6.5,-9.8,68.0,4.4,0.0,30,1,2010
SN69100,63.4597,10.9305,-11.7,68.0,4.8,-13.35,64.0,3.6,0.0,31,1,2010
SN69100,63.4597,10.9305,-10.0,75.0,4.1,-13.15,69.0,3.1,0.0,1,2,2010
SN69100,63.4597,10.9305,-7.4,81.0,3.8,-12.45,75.0,2.8,0.0,2,2,2010
SN69100,63.4597,10.9305,-5.3,81.0,4.0,-10.7,74.0,2.6,0.0,3,2,2010
SN69100,63.4597,10.9305,-1.3,67.0,7.3,-4.8,61.0,5.2,0.0,4,2,2010
SN69100,63.4597,10.9305,1.6,79.0,8.5,-0.9,66.0,4.3,0.0,5,2,2010
SN69100,63.4597,10.9305,1.4,96.0,4.0,-0.5,89.0,1.8,1.3,6,2,2010
SN69100,63.4597,10.9305,2.3,96.0,9.3,-0.15,93.0,6.8,4.0,7,2,2010
SN69100,63.4597,10.9305,2.2,95.0,10.0,1.05,87.0,5.4,5.15,8,2,2010
SN69100,63.4597,10.9305,1.1,87.0,4.9,-4.15,82.0,2.7,0.65,9,2,2010
SN69100,63.4597,10.9305,-0.9,92.0,6.5,-10.05,87.0,3.7,2.0,10,2,2010
SN69100,63.4597,10.9305,2.3,97.0,8.3,-1.65,93.0,4.7,5.2,11,2,2010
SN69100,63.4597,10.9305,0.9,97.0,4.6,-1.85,91.0,3.1,0.7,12,2,2010
SN69100,63.4597,10.9305,3.1,97.0,6.0,-0.8,96.0,2.3,2.0,13,2,2010
SN69100,63.4597,10.9305,3.2,99.0,2.7,0.85,98.0,1.5,6.6,14,2,2010
SN69100,63.4597,10.9305,1.2,99.0,3.7,-0.7,95.0,2.9,0.1,15,2,2010
SN69100,63.4597,10.9305,-2.6,88.0,4.4,-3.55,84.0,3.1,0.0,16,2,2010
SN69100,63.4597,10.9305,-0.5,80.0,6.5,-2.7,63.0,4.4,0.0,17,2,2010
SN69100,63.4597,10.9305,-2.4,71.0,5.7,-4.75,62.0,3.7,0.0,18,2,2010
SN69100,63.4597,10.9305,-5.5,61.0,7.3,-7.5,56.0,5.4,0.0,19,2,2010
SN69100,63.4597,10.9305,-9.2,60.0,8.7,-10.15,51.0,6.6,0.05,20,2,2010
SN69100,63.4597,10.9305,-12.3,67.0,7.3,-13.25,57.0,5.3,0.05,21,2,2010
SN69100,63.4597,10.9305,-14.7,70.0,4.5,-17.85,61.0,3.0,0.0,22,2,2010
SN69100,63.4597,10.9305,-14.1,72.0,4.8,-20.8,65.0,3.1,0.0,23,2,2010
SN69100,63.4597,10.9305,-2.7,92.0,5.2,-15.8,81.0,3.0,1.0,24,2,2010
SN69100,63.4597,10.9305,-1.1,94.0,3.8,-8.05,74.0,2.5,1.0,25,2,2010
SN69100,63.4597,10.9305,-2.5,93.0,3.0,-5.85,83.0,1.8,0.7,26,2,2010
SN69100,63.4597,10.9305,-0.3,95.0,3.8,-5.25,84.0,2.1,0.7,27,2,2010
SN69100,63.4597,10.9305,-2.1,91.0,4.4,-7.300000000000001,84.0,2.2,0.0,28,2,2010
SN69100,63.4597,10.9305,-2.8,86.0,4.3,-7.4,79.0,2.6,0.0,1,3,2010
SN69100,63.4597,10.9305,0.5,92.0,8.1,-7.75,89.0,3.3,0.2,2,3,2010
SN69100,63.4597,10.9305,-1.0,93.0,4.7,-7.65,85.0,2.6,1.2,3,3,2010
SN69100,63.4597,10.9305,-4.1,92.0,5.3,-8.55,87.0,3.4,1.0,4,3,2010
SN69100,63.4597,10.9305,0.6,91.0,4.7,-7.75,68.0,3.1,0.0,5,3,2010
SN69100,63.4597,10.9305,-1.1,91.0,4.6,-7.449999999999999,77.0,3.1,0.0,6,3,2010
SN69100,63.4597,10.9305,6.4,95.0,8.6,-0.3,85.0,4.1,1.5,7,3,2010
SN69100,63.4597,10.9305,5.8,89.0,14.7,3.5500000000000003,77.0,8.6,1.95,8,3,2010
SN69100,63.4597,10.9305,3.9,92.0,13.1,1.8,85.0,8.0,2.6,9,3,2010
SN69100,63.4597,10.9305,4.9,89.0,10.0,3.6,86.0,7.9,4.25,10,3,2010
SN69100,63.4597,10.9305,5.6,95.0,8.7,3.85,90.0,5.2,7.300000000000001,11,3,2010
SN69100,63.4597,10.9305,0.6,97.0,9.5,0.3,95.0,4.2,4.25,12,3,2010
SN69100,63.4597,10.9305,0.3,95.0,10.9,-1.0,92.0,4.9,5.35,13,3,2010
SN69100,63.4597,10.9305,-0.1,94.0,7.4,-1.4500000000000002,91.0,3.7,4.6,14,3,2010
SN69100,63.4597,10.9305,-0.3,94.0,8.9,-1.75,89.0,5.9,5.9,15,3,2010
SN69100,63.4597,10.9305,0.5,94.0,6.5,-1.35,89.0,3.1,2.0,16,3,2010
SN69100,63.4597,10.9305,1.1,95.0,5.7,-0.4,92.0,2.1,3.45,17,3,2010
SN69100,63.4597,10.9305,4.7,97.0,2.9,1.3,93.0,1.7,4.75,18,3,2010
